id,name
344.0,West 183rd Street
345.0,West 131st Street
346.0,West 159th Street
347.0,West 142nd Street
348.0,Ridge Street
349.0,West 142nd Street
350.0,Riverside Boulevard
351.0,20th Street Loop
352.0,West 90th Street
353.0,Montgomery Street
354.0,Montgomery Street
355.0,Saint John's Lane
356.0,Union Square West
357.0,South William Street
358.0,Freedom Place
359.0,East 73rd Street
360.0,West 135th Street
361.0,Gramercy Park South
362.0,Cortlandt Street
363.0,Park Terrace West
364.0,East 89th Street
365.0,East 101st Street
366.0,West 131st Street
367.0,East 101st Street
368.0,East 101st Street
369.0,West 123rd Street
370.0,12th Avenue
371.0,West 105th Street
372.0,3rd Place
373.0,12th Avenue
374.0,West 201st Street
375.0,Bayard Street
376.0,145th Street Bridge
377.0,East 20th Street
378.0,Centre Market Place
379.0,West 148th Street
380.0,Gramercy Park West
381.0,East 129th Street
382.0,Astor Place
383.0,West 17th Street
384.0,Charlton Street
385.0,Jumel Place
386.0,Henderson Place
387.0,14th Street Loop
388.0,West 217th Street
389.0,West 213th Street
390.0,7th Avenue
391.0,Teunissen Place
392.0,East 20th Street
393.0,East 118th Street
394.0,Allen Street
395.0,Howard Street
396.0,East 74th Street
397.0,West 228th Street
398.0,West 148th Street
400.0,Sullivan Street
401.0,Edgecombe Avenue
402.0,James Street
403.0,7th Avenue
404.0,Adam Clayton Powell Jr. Boulevard
405.0,Adam Clayton Powell Jr. Boulevard
406.0,Bradhurst Avenue
407.0,Cumming Street
408.0,Fulton Street
409.0,West 50th Street
410.0,Dover Street
411.0,Grand Army Plaza
412.0,East 22nd Street
413.0,John Street
414.0,Malcolm X Boulevard
415.0,79th Street Transverse Road
416.0,Clinton Street
417.0,Edgecombe Avenue
418.0,East 51st Street
419.0,Clarkson Street
420.0,West 206th Street
421.0,Sutton Place South
422.0,Morningside Avenue
423.0,Stuyvesant Walk
424.0,West 181st Street
425.0,Stuyvesant Walk
426.0,Stuyvesant Walk
427.0,Stuyvesant Walk
428.0,Stuyvesant Walk
429.0,Stone Street
430.0,Sullivan Street
431.0,East 24th Street
432.0,Ludlow Street
433.0,Canal Street
434.0,Kimmel Road
435.0,West 59th Street
436.0,Bank Street
437.0,Bank Street
438.0,Riverside Drive
439.0,Riverside Drive
440.0,West 77th Street
441.0,Grand Army Plaza
444.0,Riverside Drive
445.0,Stuyvesant Walk
446.0,Riverside Drive
447.0,Riverside Drive
448.0,Charles Lane
449.0,Laight Street
450.0,Beaver Street
451.0,Mount Morris Park West
452.0,West 28th Street
453.0,102nd Street Cutoff
454.0,Stuyvesant Walk
455.0,First Avenue Loop
456.0,Baruch Place
457.0,Baruch Drive
459.0,Van Corlear Place
460.0,2nd Avenue
461.0,2nd Avenue
462.0,Claremont Avenue
463.0,Stuyvesant Walk
464.0,Riverside Drive
465.0,Riverside Drive
466.0,Adam Clayton Powell Jr. Boulevard
467.0,West 81st Street
468.0,Amsterdam Avenue
469.0,West 92nd Street
470.0,West 106th Street
471.0,Wadsworth Terrace
472.0,East 14th Street
473.0,Overlook Terrace
474.0,West 44th Street
475.0,Spring Street
476.0,West 150th Street
477.0,Elk Street
478.0,East 56th Street
479.0,97th Street Transverse
480.0,West 143rd Street
481.0,Columbus Avenue
482.0,West 3rd Street
483.0,Little West Street
484.0,97th Street Transverse
486.0,Taras Shevchenko Place
487.0,Vanderbilt Avenue
488.0,East 120th Street
489.0,Northeast Corridor
490.0,Rutgers Slip
491.0,East 5th Walk
493.0,Shubert Alley
494.0,South End Avenue
495.0,Ellwood Street
496.0,Stuyvesant Street
497.0,East 82nd Street
498.0,West 37th Street
499.0,West 150th Street
500.0,West 181st Street
501.0,Marble Hill Avenue
502.0,West 152nd Street
503.0,West 48th Street
504.0,Weehawken Street
506.0,Bridge Street
507.0,East 94th Street
510.0,Harlem River Drive
511.0,Harlem River Drive
512.0,East 90th Street
513.0,West 144th Street
514.0,West 144th Street
515.0,East 45th Street
516.0,9th Avenue
517.0,9th Avenue
518.0,9th Avenue
520.0,West 132nd Street
521.0,Adam Clayton Powell Jr. Boulevard
522.0,Bogardus Place
523.0,Watts Street
524.0,East 122nd Street
525.0,York Street
526.0,West 121st Street
527.0,Pearl Street
528.0,97th Street Transverse
529.0,East 71st Street
530.0,West 86th Street
531.0,East 99th Street
532.0,River Terrace
533.0,East 34th Street
534.0,East 80th Street
535.0,West 121st Street
536.0,East 30th Street
537.0,West 75th Street
538.0,East 114th Street
539.0,Lafayette Street
540.0,Vandam Street
541.0,Coenties Slip
542.0,West 137th Street
543.0,West 137th Street
544.0,79th Street Transverse Road
545.0,Reade Street
546.0,Hester Street
547.0,Abraham Kazan Street
548.0,Academy Street
549.0,West 143rd Street
550.0,Riverside Drive
551.0,West 97th Street
552.0,South Street
553.0,West 15th Street
554.0,East 88th Street
555.0,West 211th Street
556.0,Tudor City Place
557.0,East 107th Street
558.0,East 107th Street
559.0,East 107th Street
561.0,Madison Avenue
562.0,Attorney Street
563.0,West 216th Street
564.0,East 28th Street
565.0,East 39th Street
566.0,Bialystoker Place
567.0,West 93rd Street
568.0,West 227th Street
569.0,Jacobus Place
570.0,West 175th Street
571.0,Mangin Street
572.0,East 77th Street
573.0,Mangin Street
574.0,West 69th Street
575.0,West 40th Street
576.0,Post Avenue
577.0,Pell Street
578.0,West 33rd Street
579.0,9th Avenue
580.0,East 1st Street
581.0,West 111th Street
582.0,West 115th Street
583.0,West 152nd Street
584.0,West 115th Street
585.0,West 115th Street
586.0,West 205th Street
587.0,North End Avenue
588.0,East 17th Street
589.0,Jones Street
590.0,East 12th Street
591.0,West 164th Street
592.0,Lexington Avenue
593.0,West 186th Street
594.0,East 66th Street
595.0,Road 3
596.0,Manhattan Avenue
597.0,West 141st Street
598.0,West 141st Street
599.0,Road 5
600.0,Hester Street
601.0,Northeast Corridor
602.0,Rector Street
603.0,Road 6
604.0,West 133rd Street
605.0,Franklin Place
607.0,Hogan Place
608.0,East 83rd Street
609.0,North Moore Street
610.0,West Drive
611.0,Riverbank Park Access Road
612.0,Pleasant Avenue
613.0,West 109th Street
614.0,East 59th Street
615.0,East 55th Street
616.0,Roosevelt Island Bridge
617.0,Monroe Street
618.0,Riverview Terrace
619.0,Monroe Street
620.0,North End Avenue
621.0,Park Row
622.0,West 158th Street
623.0,Dutch Street
624.0,Sylvan Place
625.0,West Houston Street
626.0,William Street
627.0,Bedford Street
628.0,Convent Avenue
629.0,Chisum Place
630.0,East 23rd Street
631.0,West 134th Street (upper)
632.0,West 186th Street
633.0,East 48th Street
634.0,West 76th Street
635.0,Main Street
636.0,East Road
637.0,Centre Street
638.0,Main Street
639.0,Sickles Street
640.0,West 169th Street
641.0,West 40th Street
642.0,East 92nd Street
643.0,East 9th Street
644.0,East 9th Street
645.0,East 51st Street Pedestrian Crossing
646.0,East 9th Street
647.0,West 11th Street
648.0,West 160th Street
650.0,West 33rd Street
651.0,Jumel Terrace
652.0,West 147th Street
653.0,West 147th Street
654.0,West 111th Street
655.0,Pike Slip
656.0,West 60th Street
657.0,86th Street Transverse Road
658.0,East 32nd Street
659.0,West 16th Street
660.0,East 29th Street
661.0,West 104th Street
662.0,86th Street Transverse Road
663.0,Macombs Place
664.0,West 26th Street
665.0,West 53rd Street
666.0,Tiemann Place
667.0,East 28th Street
668.0,Mercer Street
669.0,West 212th Street
670.0,Wadsworth Avenue
671.0,Warren Street
672.0,Saint James Place
673.0,Main Street
674.0,East 37th Street
675.0,East 117th Street
676.0,Washington Square East
677.0,Gracie Terrace
678.0,Columbia Street
679.0,West 33rd Street
680.0,East 97th Street
681.0,Third Avenue Bridge
682.0,West 196th Street
683.0,West 136th Street
684.0,West Road
685.0,West 91st Street
686.0,West 189th Street
688.0,West 189th Street
689.0,MacDougal Street
690.0,Cartigan Road
691.0,West 54th Street
692.0,West Drive
693.0,Haven Avenue
694.0,Pike Slip
695.0,FDR Drive
696.0,Mount Carmel Place
697.0,Frankfort Street
698.0,West 58th Street
699.0,Terrace Drive
700.0,West 129th Street
701.0,West 129th Street
702.0,Norfolk Street
703.0,West 153rd Street
704.0,Owasco Road
705.0,Forsyth Street
707.0,Center Drive
708.0,East End Avenue
709.0,FDR Drive
710.0,Barrow Street
711.0,South Street
712.0,Edward M. Morgan Place
713.0,Grand Street
714.0,West 178th Street
715.0,Cathedral Parkway
716.0,Carlisle Street
717.0,West 136th Street
718.0,Gay Street
719.0,West 47th Street
720.0,Washington Square South
721.0,Nagle Avenue
722.0,Battery Park City Greenway
723.0,West 162nd Street
724.0,Whitehall Street
725.0,East 4th Walk
726.0,Market Slip
727.0,West 118th Street
728.0,West 96th Street
729.0,West 118th Street
730.0,Charles Street
731.0,Front Street
732.0,Front Street
733.0,Front Street
734.0,West 162nd Street
735.0,Lewis Street
736.0,East Road
737.0,East 93rd Street
738.0,Stuyvesant Oval
739.0,Worth Street
740.0,3rd Avenue
741.0,West 102nd Street
742.0,West 102nd Street
743.0,East 52nd Street
744.0,East 81st Street
745.0,Delancey Street
746.0,Laguardia Place
747.0,West 36th Street
748.0,Morris Street
749.0,Morris Street
750.0,East 44th Street
751.0,East 44th Street
752.0,East 40th Street
753.0,East Road
754.0,Franklin Street
755.0,Beekman Place
756.0,East 106th Street
757.0,4th Avenue
758.0,West 85th Street
760.0,East 5th Street
761.0,East 5th Street
762.0,East 5th Street
763.0,Malcolm X Boulevard
764.0,East Road
765.0,Cooper Square
766.0,Cooper Square
767.0,West Washington Place
768.0,Jersey Street
769.0,Cooper Street
770.0,East 21st Street
771.0,West Street
772.0,East 98th Street
773.0,East 2nd Street
774.0,Grove Street
775.0,Cannon Street
776.0,West 25th Street
777.0,Doris C. Freedman Place
778.0,Division Street
779.0,East 113th Street
780.0,Old Broadway
781.0,Old Broadway
782.0,West 129th Street
783.0,Mill Lane
784.0,Cleveland Place
785.0,West 74th Street
786.0,Hamilton Place
787.0,Milligan Place
788.0,Sylvan Terrace
789.0,4th Avenue
790.0,Pomander Walk
791.0,Wall Street
792.0,New Street
793.0,West 79th Street
794.0,West Road
795.0,Church Street
796.0,Great Jones Alley
797.0,West 185th Street
798.0,West 185th Street
800.0,Baxter Street
801.0,West 62nd Street
802.0,Fairview Avenue
803.0,East 27th Street
804.0,East 87th Street
805.0,East 112th Street
806.0,East 27th Street
807.0,Chrystie Street
808.0,West 182nd Street
809.0,West 19th Street
810.0,East Road
812.0,West 43rd Street
813.0,West 219th Street
815.0,Tunnel Entrance Street
816.0,East 27th Street
817.0,West 215th Street
818.0,West 215th Street
819.0,Doyers Street
820.0,Gouverneur Lane
821.0,West 68th Street
822.0,East 123rd Street
823.0,West 174th Street
824.0,Rutgers Street
825.0,Henshaw Street
826.0,Morton Street
827.0,Audubon Avenue
828.0,East 76th Street
829.0,Jefferson Street
831.0,Jane Street
832.0,West 163rd Street
833.0,West 163rd Street
834.0,Washington Terrace
835.0,Fort George Avenue
836.0,West 62nd Street
837.0,West 122nd Street
838.0,Renwick Street
839.0,Great Hill Oval
841.0,West 151st Street
842.0,Fort Tryon Place
843.0,East 11th Street
844.0,East 11th Street
845.0,West 179th Street
846.0,Bond Street
847.0,East 60th Street
848.0,Avenue C
849.0,Adrian Avenue
850.0,West 110th Street
851.0,King Street
852.0,West 114th Street
853.0,West 114th Street
854.0,Audubon Avenue
855.0,Gansevoort Street
856.0,Avenue D
857.0,East 16th Street
858.0,East 16th Street
859.0,East 16th Street
860.0,East 16th Street
861.0,West 204th Street
863.0,West 103rd Street
864.0,West 103rd Street
865.0,Sutton Place
866.0,East 65th Street
867.0,West 14th Street
868.0,West 57th Street
869.0,West 119th Street
870.0,West 119th Street
871.0,West 119th Street
872.0,Trimble Place
873.0,10th Avenue
874.0,1st Avenue
875.0,1st Avenue
876.0,East 121st Street
877.0,Greene Street
878.0,FDR Drive
879.0,Greene Street
880.0,West 168th Street
881.0,Gracie Square
882.0,Payson Avenue
883.0,Gustave L. Levy Place
884.0,Washington Place
885.0,Market Street
886.0,Nassau Street
887.0,Carmine Street
888.0,University Place
889.0,Battery Place
890.0,Park Avenue South
891.0,East 91st Street
892.0,Edens Alley
893.0,Hamilton Terrace
894.0,Nathan D. Perlman Place
895.0,West 108th Street
896.0,Bennett Avenue
897.0,East 58th Street
898.0,East 54th Street
899.0,5th Avenue
900.0,5th Avenue
901.0,Chatham Square
902.0,East 138th Street
903.0,West 99th Street
905.0,Bushman Steps
906.0,Collister Street
907.0,Trinity Place
908.0,Leroy Street
909.0,Robert F. Wagner Sr. Place
910.0,East 42nd Street
911.0,East 31st Street
912.0,West 70th Street
913.0,West 63rd Street
914.0,West 122nd Street
915.0,West 63rd Street
916.0,Beak Street
917.0,Beekman Street
918.0,Beekman Street
919.0,East Houston Street
920.0,Perry Street
921.0,Laurel Hill Terrace
922.0,Baxter Street
923.0,West 190th Street
924.0,West 190th Street
925.0,Water Street
926.0,East 47th Street
927.0,West 190th Street
928.0,Leroy Street
929.0,Edgar Street
930.0,Water Street
931.0,Lafayette Court
932.0,East 127th Street
933.0,East 8th Street
934.0,East 96th Street
935.0,Avenue B
936.0,East 8th Street
937.0,West 10th Street
938.0,East 4th Street
